,Unnamed: 0,duration_connection,service,source_bytes,destination_bytes,count,same_srv_rate,serror_rate,srv_serror_rate,dst_host_count,dst_host_srv_count,dst_host_same_src_port_rate,dst_host_serror_rate,dst_host_srv_serror_rate,flag,IDS_detection,malware_detection,ashula_detection,label,source_IP_address,source_port_number,destination_IP_address,destination_port_number,duration
144606,144606,29.800359,6,42932,174,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,7,1,0,-1,15937,1216,299,25,1
233887,233887,3.251028,3,2575,1584,0,0.0,0.0,1.0,1,3,0.0,0.0,0.0,8,36,1,5,-1,14546,4614,266,445,1
233891,233891,15.753199,3,1953,1019,0,0.0,0.0,0.5,2,4,0.0,0.0,0.0,8,0,1,6,-1,14546,4622,266,445,1
79661,79661,2.945303,3,2573,1584,0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,8,16,1,6,-1,3303,4123,347,445,1
79672,79672,15.512117,3,1951,1019,0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,8,0,1,7,-1,3303,4129,347,445,1
213377,213377,3.348897,3,1939,1019,1,1.0,0.0,0.86,1,1,0.0,0.0,0.0,8,40,1,6,-1,9273,1288,347,445,1
213951,213951,3.335356,3,1939,1019,1,1.0,0.0,0.8,1,1,0.0,0.0,0.0,8,40,1,6,-1,9273,2635,347,445,1
223289,223289,3.410013,3,1939,1019,4,1.0,0.0,0.44,1,4,0.0,0.0,0.0,8,40,1,6,-1,9273,3704,347,445,1
223371,223371,4.591584,3,2573,1584,1,1.0,0.0,0.5,0,5,0.0,0.0,0.4,8,37,1,6,-1,4671,3402,347,445,1
223382,223382,24.369814,3,1951,1019,1,1.0,0.0,0.67,1,6,0.0,0.0,0.33,8,0,1,7,-1,4671,3416,347,445,1
4962,4962,3.936222,3,1939,1019,1,1.0,0.0,0.83,1,1,0.0,0.0,0.0,9,47,1,6,-1,10791,4970,379,445,1
12915,12915,3.365496,3,1939,1019,3,1.0,0.0,0.17,1,1,0.0,0.0,0.0,9,47,1,6,-1,10791,1916,379,445,1
21233,21233,3.344622,3,1939,1019,4,1.0,0.0,0.38,1,1,0.0,0.0,0.0,9,47,1,6,-1,10791,4823,379,445,1
71217,71217,21.76786,3,328192,0,0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,4,11,2,1,-1,13205,14736,379,9988,1
365347,365347,6.468474,3,2644,2705,1,1.0,0.0,0.88,0,0,0.0,0.0,0.0,9,21,1,6,-1,16235,2466,379,445,1
365357,365357,124.61445,3,2022,2140,1,1.0,0.0,0.5,1,1,0.0,0.0,0.0,9,0,1,7,-1,16235,2474,379,445,1
119,119,3.170907,3,2575,1584,0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,9,48,1,5,-1,14436,4082,350,445,1
122,122,16.158226,3,1953,1019,0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,9,0,1,6,-1,14436,4090,350,445,1
155923,155923,3.350569,3,2575,1584,0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,8,17,1,5,-1,2012,2901,350,445,1
155930,155930,15.755435,3,1953,1019,0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,8,0,1,6,-1,2012,2909,350,445,1
37991,37991,19.566287,3,7497,9490,1,1.0,0.0,0.67,0,0,0.0,0.0,0.0,9,15,1,1,-1,22794,49324,334,445,1
37992,37992,21.386969,3,7625,9687,2,1.0,0.0,0.62,0,0,0.0,0.0,0.0,9,15,1,2,-1,22794,49318,332,445,1
386572,386572,6.179129,3,2547,1584,1,1.0,0.0,0.99,1,1,0.0,0.0,0.0,9,46,1,7,-1,8317,1831,283,445,1
386738,386738,20.098529,3,1925,1019,1,1.0,0.0,0.96,2,2,0.0,0.0,0.0,9,0,1,8,-1,8317,1850,283,445,1
459717,459717,6.105751,3,2547,1584,1,1.0,0.0,0.4,1,1,0.0,0.0,0.0,9,46,1,7,-1,8317,43907,283,445,1
459743,459743,25.173747,3,1925,1019,1,1.0,0.0,0.6,2,2,0.0,0.0,0.0,9,0,1,8,-1,8317,43919,283,445,1
459772,459772,0.0,3,0,0,0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,10,46,1,7,-1,10053,445,223,43907,1
459801,459801,0.0,3,0,0,1,1.0,0.0,0.6,0,0,0.0,0.0,0.0,10,46,1,7,-1,10053,445,223,43907,1
459862,459862,0.0,3,0,0,0,0.0,0.0,0.67,0,0,0.0,0.0,0.0,10,46,1,7,-1,10053,445,223,43907,1
522,522,4.289197,3,2573,1584,1,1.0,0.0,0.33,0,0,0.0,0.0,0.0,8,46,1,5,-1,96,2722,275,445,1
542,542,24.279345,3,1951,1019,1,1.0,0.0,0.78,1,1,0.0,0.0,0.0,8,0,1,6,-1,96,2738,275,445,1
146789,146789,2.027133,3,1776,92,0,0.0,0.0,1.0,0,11,0.0,0.0,0.0,8,81,2,8,-1,4547,1208,858,135,1
200108,200108,17.348998,3,7072,9264,1,1.0,0.0,0.0,0,0,0.0,0.0,0.0,8,20,1,1,-1,9203,50346,259,445,1
202434,202434,13.610553,3,8023,9933,1,1.0,0.0,0.67,0,0,0.0,0.0,0.0,8,20,1,2,-1,9203,52807,258,445,1
223620,223620,6.286749,3,2547,1584,1,1.0,0.0,0.25,0,0,0.0,0.0,0.0,8,21,1,9,-1,3160,12222,259,445,1
223627,223627,25.280679,3,1925,1019,1,1.0,0.0,0.75,1,1,0.0,0.0,0.0,8,0,1,10,-1,3160,12234,259,445,1
26130,26130,5.552287,4,1939,1019,1,1.0,0.0,0.75,0,4,0.0,0.0,0.0,9,22,1,5,-1,1758,1803,327,445,1
33178,33178,180.956486,4,4131,2756,1,1.0,0.0,0.67,1,3,0.0,0.0,0.0,4,23,1,5,-1,1758,4494,327,445,1
66679,66679,5.989822,4,2547,1584,1,1.0,0.0,0.33,1,1,0.0,0.0,0.0,9,52,1,5,-1,3120,8830,327,445,1
66684,66684,25.321144,4,1925,1019,1,1.0,0.0,0.5,2,2,0.0,0.0,0.0,9,0,1,6,-1,3120,8839,327,445,1
236571,236571,5.212036,3,1923,1019,0,0.0,0.0,0.5,1,1,0.0,0.0,0.0,8,44,1,4,-1,3625,1642,346,445,1
236585,236585,0.0,3,0,0,0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,9,44,1,4,-1,3844,445,323,1642,1
