,type,rcvTime,pos,noise,spd,spd_noise,sendTime,sender,messageID,pos_noise,RSSI
0,2,10800.0,"[3610.808689155647, 5434.584071092829, 1.895]","[0.0, 0.0, 0.0]","[-3.521886075669631, 30.51676817695764, 0.0]","[0.0, 0.0, 0.0]",,,,,
1,2,10800.1,"[3610.455279505821, 5437.646328111793, 1.895]","[0.0, 0.0, 0.0]","[-3.5383426765796298, 30.65936287311347, 0.0]","[0.0, 0.0, 0.0]",,,,,
2,2,10800.199999999999,"[3610.1033609298747, 5440.695665134224, 1.895]","[0.0, 0.0, 0.0]","[-3.523414022703485, 30.53000767543141, 0.0]","[0.0, 0.0, 0.0]",,,,,
3,2,10800.3,"[3609.751475468968, 5443.7447152183595, 1.895]","[0.0, 0.0, 0.0]","[-3.523082474432574, 30.527134844935055, 0.0]","[0.0, 0.0, 0.0]",,,,,
4,3,10800.392893331087,"[3597.1520859538705, 5542.199221013564, 1.895]",,"[-3.178365760312756, 38.7989694164331, 0.0]","[0.0, 0.0, 0.0]",10800.392784793165,13.0,38.0,"[0.0, 0.0, 0.0]",1.115287211193831e-07
5,2,10800.4,"[3609.398493800021, 5446.803263828545, 1.895]","[0.0, 0.0, 0.0]","[-3.5340577256506718, 30.622234229193285, 0.0]","[0.0, 0.0, 0.0]",,,,,
6,3,10800.456257969776,"[3596.8058614714364, 5692.1134167356, 1.895]",,"[1.2824674250276291, -29.864002810956773, 0.0]","[0.0, 0.0, 0.0]",10800.456150335958,31.0,104.0,"[0.0, 0.0, 0.0]",3.218739521509698e-09
7,2,10800.5,"[3609.0466025024166, 5449.85236448704, 1.895]","[0.0, 0.0, 0.0]","[-3.523140911531434, 30.527641196186394, 0.0]","[0.0, 0.0, 0.0]",,,,,
8,3,10800.582131455656,"[3597.77049261071, 5764.800892637684, 1.895]",,"[-0.020161171020262002, -34.568847861282705, 0.0]","[0.0, 0.0, 0.0]",10800.58201979124,25.0,137.0,"[0.0, 0.0, 0.0]",2.900247942261562e-09
9,2,10800.6,"[3608.693181149798, 5452.914722909464, 1.895]","[0.0, 0.0, 0.0]","[-3.538459845118441, 30.66037812606467, 0.0]","[0.0, 0.0, 0.0]",,,,,
