,Unnamed: 0,type,rcvTime,sendTime,sender,messageID,RSSI,pos_0,pos_1,pos_2,spd_0,spd_1,spd_2,spd_noise_0,spd_noise_1,spd_noise_2,pos_noise_0,pos_noise_1,pos_noise_2,type_attack
4,4,3,10800.392893331087,10800.392784793165,13.0,38.0,1.115287211193831e-07,3597.1520859538705,5542.199221013564,1.895,-3.178365760312756,38.7989694164331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,6,3,10800.456257969776,10800.456150335958,31.0,104.0,3.218739521509698e-09,3596.8058614714364,5692.1134167356,1.895,1.2824674250276291,-29.864002810956773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,8,3,10800.582131455656,10800.58201979124,25.0,137.0,2.900247942261562e-09,3597.77049261071,5764.800892637684,1.895,-0.020161171020262002,-34.568847861282705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10,10,3,10800.670748173432,10800.6706378737,43.0,172.0,1.746130740340401e-08,3822.8920061526037,5266.806009069768,1.895,1.30536212587596,-0.9887296651368701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13,13,3,10800.870127664492,10800.870012145257,19.0,193.0,3.710397785411857e-07,3617.100033807479,5417.782781289675,1.895,4.9379503396949564,-39.87757802978829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19,19,3,10801.392901556192,10801.392784793165,13.0,257.0,2.492011655646751e-08,3593.982139694547,5580.895411836837,1.895,-3.166224942512135,38.65076393787597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
21,21,3,10801.456265790384,10801.456150335958,31.0,317.0,9.640261643785642e-09,3598.0910889609227,5662.1851420599705,1.895,1.282719421597081,-29.869870894753344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
23,23,3,10801.582126247231,10801.58201979124,25.0,350.0,8.708451187475431e-09,3598.458786986237,5730.5230103800095,1.895,1.459861591293167,-34.0257489797638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25,25,3,10801.670756171652,10801.6706378737,43.0,381.0,1.12642577828173e-08,3825.1961086986253,5265.1973348684,1.895,3.057783376452038,-2.2014119284437212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
28,28,3,10801.870118306302,10801.870012145257,19.0,410.0,5.939836493343719e-09,3622.053411372471,5377.780617077725,1.895,4.947129899297883,-39.95170971986224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
34,34,3,10802.392895062769,10802.392784793165,13.0,439.0,2.2692792540808157e-09,3590.8061736716168,5619.665087161795,1.895,-3.174213872618352,38.74828646303853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
36,36,3,10802.456258892427,10802.456150335958,31.0,493.0,2.540990995999349e-09,3599.8680687225988,5632.305432029379,1.895,2.507947203533661,-29.791207268132045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
