,Unnamed: 0,Unnamed: 0.1,type,rcvTime,sendTime,sender,messageID,RSSI,pos_0,pos_1,pos_2,spd_0,spd_1,spd_2,type_attack
0,4,4,3,10800.392893331087,10800.392784793165,13.0,38.0,1.115287211193831e-07,3597.1520859538705,5542.199221013564,1.895,-3.178365760312756,38.7989694164331,0.0,1
1,6,6,3,10800.456257969776,10800.456150335958,31.0,104.0,3.218739521509698e-09,3596.8058614714364,5692.1134167356,1.895,1.2824674250276291,-29.864002810956773,0.0,1
2,8,8,3,10800.582131455656,10800.58201979124,25.0,137.0,2.900247942261562e-09,3597.77049261071,5764.800892637684,1.895,-0.020161171020262,-34.568847861282705,0.0,1
3,10,10,3,10800.670748173432,10800.6706378737,43.0,172.0,1.7461307403404012e-08,3822.892006152604,5266.806009069768,1.895,1.30536212587596,-0.98872966513687,0.0,1
4,13,13,3,10800.870127664492,10800.870012145257,19.0,193.0,3.710397785411857e-07,3617.100033807479,5417.782781289675,1.895,4.9379503396949564,-39.87757802978829,0.0,1
5,19,19,3,10801.392901556192,10801.392784793165,13.0,257.0,2.4920116556467508e-08,3593.982139694547,5580.895411836837,1.895,-3.166224942512135,38.65076393787597,0.0,1
6,21,21,3,10801.456265790384,10801.456150335958,31.0,317.0,9.640261643785642e-09,3598.0910889609227,5662.1851420599705,1.895,1.282719421597081,-29.869870894753344,0.0,1
7,23,23,3,10801.582126247233,10801.58201979124,25.0,350.0,8.708451187475431e-09,3598.458786986237,5730.5230103800095,1.895,1.459861591293167,-34.0257489797638,0.0,1
8,25,25,3,10801.670756171652,10801.6706378737,43.0,381.0,1.12642577828173e-08,3825.196108698625,5265.1973348684,1.895,3.057783376452038,-2.201411928443721,0.0,1
9,28,28,3,10801.870118306302,10801.870012145257,19.0,410.0,5.939836493343719e-09,3622.053411372471,5377.780617077725,1.895,4.947129899297883,-39.95170971986224,0.0,1
10,34,34,3,10802.392895062769,10802.392784793165,13.0,439.0,2.2692792540808153e-09,3590.8061736716168,5619.665087161795,1.895,-3.174213872618352,38.74828646303853,0.0,1
11,36,36,3,10802.456258892427,10802.456150335958,31.0,493.0,2.540990995999349e-09,3599.8680687225988,5632.305432029379,1.895,2.507947203533661,-29.791207268132045,0.0,1
12,38,38,3,10802.582132323316,10802.58201979124,25.0,521.0,2.881128424272722e-09,3599.907312274775,5696.761482470395,1.895,1.439896144434641,-33.56040398601323,0.0,1
13,40,40,3,10802.670747302518,10802.6706378737,43.0,549.0,2.2725860453197123e-09,3829.366736220141,5262.327980580308,1.895,5.060284391720792,-3.481430226852285,0.0,1
14,43,43,3,10802.870122519931,10802.870012145257,19.0,573.0,1.2636524391687682e-08,3627.003043329184,5337.808701405376,1.895,4.940952624413968,-39.90182368532391,0.0,1
15,49,49,3,10803.39289933027,10803.392784793165,13.0,603.0,2.657969852846446e-09,3588.263021778535,5658.4090838301045,1.895,-1.620634026797085,38.77583958314621,0.0,1
