,Unnamed: 0,duration_connection,service,source_bytes,destination_bytes,count,same_srv_rate,serror_rate,srv_serror_rate,dst_host_count,dst_host_srv_count,dst_host_same_src_port_rate,dst_host_serror_rate,dst_host_srv_serror_rate,flag,IDS_detection,malware_detection,ashula_detection,label,source_IP_address,source_port_number,destination_IP_address,destination_port_number,duration
2644,2644,3.284736,1,186,164280,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,22,0,-1,355,3568,978,4661,1
3234,3234,1.889169,1,183,166638,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,2,0,-1,355,3570,853,7639,1
3793,3793,179.987471,1,187,168118,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,28,0,-1,355,3572,113,8276,1
3809,3809,180.747956,1,187,168118,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,28,0,-1,14114,4393,113,8276,1
4229,4229,180.05057,1,181,167851,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,24,0,-1,14114,4395,1030,3518,1
4938,4938,18.481177,1,182,163271,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,37,0,-1,355,3576,729,8253,1
6608,6608,180.871127,1,182,167410,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,15,0,-1,14114,4405,897,2696,1
6703,6703,5.528424,1,182,166135,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,29,0,-1,14114,4407,145,6931,1
7091,7091,180.837166,1,185,164832,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,17,0,-1,355,3583,727,4286,1
8373,8373,180.052222,1,183,161698,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,16,0,-1,355,3587,887,5176,1
9895,9895,180.007889,1,183,169846,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,26,0,-1,355,3592,970,4732,1
9901,9901,179.988641,1,183,169846,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,26,0,-1,14114,4417,970,4732,1
10803,10803,3.24212,1,187,158358,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,10,0,-1,355,3594,792,8983,1
10806,10806,4.450855,1,187,158358,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,10,0,-1,14114,4421,792,8983,1
11415,11415,5.210062,1,184,162242,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,22,0,-1,355,3596,381,4891,1
11426,11426,2.081245,1,184,162242,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,22,0,-1,14114,4423,381,4891,1
12089,12089,1.797696,1,183,166638,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,2,0,-1,355,3598,177,7639,1
12094,12094,1.845023,1,183,166639,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,2,0,-1,14114,4427,177,7639,1
12839,12839,0.962498,1,186,158089,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,2,0,-1,355,3600,1028,6119,1
14097,14097,4.450833,1,185,157312,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,20,0,-1,355,3605,817,9695,1
14111,14111,6.027193,1,185,157312,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,20,0,-1,14114,4435,817,9695,1
14160,14160,180.910461,1,179,171463,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,4,0,-1,355,3607,311,5634,1
16959,16959,180.071837,1,182,164832,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,17,0,-1,355,3611,768,3226,1
17760,17760,1.687524,1,184,157216,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,5,0,-1,355,3613,702,1091,1
18390,18390,1.846426,1,184,80385,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,22,0,-1,355,3618,787,3671,1
18727,18727,6.816995,1,180,159551,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,2,0,-1,355,3620,403,5612,1
18747,18747,13.348392,1,180,159552,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,2,0,-1,14114,4449,403,5612,1
23058,23058,1.920958,1,182,159676,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,34,0,-1,355,3625,1010,8695,1
23067,23067,2.056912,1,182,159677,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,34,0,-1,14114,4461,1010,8695,1
23391,23391,180.98019,1,186,168595,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,7,0,-1,355,3627,912,1454,1
25944,25944,180.067399,1,186,168595,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,7,0,-1,14114,4467,912,1454,1
26396,26396,180.046967,1,186,164832,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,17,0,-1,355,3632,107,8049,1
27176,27176,5.075744,1,183,168118,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,40,0,-1,355,3634,459,4681,1
27191,27191,4.987291,1,183,168118,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,40,0,-1,14114,4475,459,4681,1
30940,30940,3.548999,1,186,164280,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,22,0,-1,355,3638,978,4661,1
30955,30955,3.264839,1,186,164280,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,22,0,-1,14114,4481,978,4661,1
31992,31992,1.91563,1,183,166638,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,2,0,-1,355,3643,853,7639,1
32000,32000,2.503117,1,183,166639,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,2,0,-1,14114,4489,853,7639,1
37476,37476,180.977771,1,184,160938,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,27,0,-1,14114,4495,116,1201,1
37547,37547,180.016734,1,185,164833,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,17,0,-1,14114,4497,727,4286,1
41647,41647,22.602044,1,182,163271,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,37,0,-1,355,3648,729,8253,1
41661,41661,20.283742,1,182,163271,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,37,0,-1,14114,4507,729,8253,1
44248,44248,6.235299,1,183,160235,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,43,0,-1,355,3655,678,4634,1
44672,44672,4.410131,1,183,167410,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,36,0,-1,14114,4521,245,7927,1
44676,44676,5.282301,1,186,172012,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,9,0,-1,355,3657,763,4261,1
46486,46486,2.614746,1,185,172395,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,19,0,-1,14114,4525,596,5180,1
46526,46526,180.87255,1,179,171462,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,4,0,-1,355,3662,311,5634,1
49305,49305,1.315735,1,184,157216,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,0,5,0,-1,355,3664,702,1091,1
